。	363546
不	19029
人	15813
山	13049
风	12249
无	12199
日	11382
一	11201
云	10752
有	9737
来	9631
何	9521
天	9058
中	8902
时	8860
水	8631
花	8498
春	8466
月	8442
上	8366
为	7373
生	7326
相	7301
自	7147
心	7058
知	7013
君	6812
长	6807
白	6737
归	6697
年	6697
秋	6623
此	6392
如	6334
清	6226
行	5998
见	5966
江	5959
去	5953
空	5897
在	5897
高	5873
夜	5756
得	5746
下	5704
未	5614
里	5468
客	5464
多	5401
门	5214
明	5168
寒	5154
落	4930
远	4923
是	4917
青	4859
子	4809
金	4789
事	4767
雨	4756
处	4708
三	4680
千	4676
今	4666
声	4663
道	4635
前	4577
家	4576
南	4528
玉	4486
路	4462
入	4431
出	4408
新	4388
朝	4387
东	4318
深	4310
开	4288
树	4236
城	4232
尽	4221
与	4206
烟	4201
已	4153
万	4144
别	4119
流	4111
思	4104
草	4103
应	4080
飞	4068
我	4067
酒	4065
地	4015
回	3987
闲	3971
还	3960
将	3959
色	3949
谁	3924
欲	3921
西	3845
闻	3830
独	3817
马	3759
更	3728
石	3675
成	3673
向	3662
同	3609
可	3605
雪	3601
林	3566
光	3565
身	3554
重	3552
书	3550
看	3546
游	3536
阳	3501
老	3471
从	3448
海	3431
满	3415
望	3404
香	3381
衣	3268
古	3267
难	3265
情	3251
愁	3236
旧	3229
尘	3182
犹	3156
方	3138
名	3070
分	3055
能	3020
头	3008
红	2987
楼	2972
过	2945
后	2934
歌	2926
到	2924
莫	2913
鸟	2906
当	2894
龙	2892
似	2884
气	2884
诗	2865
松	2839
平	2829
黄	2803
作	2796
言	2772
发	2771
竹	2769
仙	2743
几	2739
复	2738
间	2726
叶	2714
外	2712
初	2700
亦	2662
离	2636
故	2620
华	2594
意	2591
随	2588
台	2585
吟	2573
非	2565
十	2564
北	2554
起	2535
公	2533
然	2522
孤	2517
野	2498
梦	2488
王	2462
晚	2456
边	2455
五	2447
安	2428
文	2394
露	2385
国	2372
暮	2355
世	2355
醉	2348
终	2335
留	2324
少	2324
百	2323
幽	2309
大	2306
坐	2300
阴	2297
汉	2286
泉	2282
逢	2270
临	2263
霜	2225
所	2220
问	2195
好	2193
池	2172
枝	2169
乡	2162
近	2161
柳	2159
关	2158
因	2150
碧	2147
宫	2145
若	2142
波	2141
连	2139
共	2126
微	2119
岁	2111
芳	2110
河	2103
岂	2099
轻	2087
期	2084
影	2080
馀	2065
绿	2061
经	2059
半	2050
四	2050
溪	2041
惊	2007
神	1988
曾	1979
庭	1965
须	1962
小	1942
寻	1939
静	1938
翠	1927
残	1923
鹤	1906
舟	1906
照	1904
才	1888
遥	1879
晓	1879
居	1872
对	1865
九	1865
动	1858
峰	1855
忆	1837
物	1834
断	1831
曲	1809
楚	1807
木	1803
却	1801
吹	1799
久	1782
正	1775
先	1767
两	1766
夕	1761
垂	1739
悲	1734
唯	1731
鱼	1713
沙	1713
官	1709
乐	1708
苦	1706
宿	1706
常	1705
紫	1691
通	1671
病	1668
笑	1667
浮	1666
忽	1663
鸣	1659
怜	1659
登	1650
只	1647
者	1645
景	1640
数	1635
早	1631
恩	1629
双	1625
怀	1618
传	1616
疏	1608
园	1599
爱	1598
星	1594
和	1588
虚	1586
散	1580
雁	1574
凤	1567
且	1566
车	1565
堪	1564
听	1560
至	1541
川	1539
合	1536
陵	1528
真	1524
语	1523
寄	1523
泪	1521
兴	1521
丹	1520
送	1508
又	1499
吾	1497
僧	1493
转	1486
之	1484
主	1480
穷	1478
二	1470
使	1459
窗	1449
觉	1447
州	1445
依	1444
秦	1435
乱	1431
绝	1428
灵	1427
堂	1412
待	1409
以	1409
昔	1409
凉	1404
亲	1402
晴	1390
火	1389
湖	1387
节	1386
田	1384
带	1378
恨	1378
寂	1377
霞	1377
会	1374
足	1370
皆	1368
阁	1366
虽	1361
始	1360
帝	1359
女	1349
尚	1341
隐	1337
容	1319
太	1316
首	1315
信	1306
隔	1306
暗	1304
移	1303
辞	1298
寺	1298
洞	1295
休	1290
谢	1290
手	1284
直	1267
贤	1266
胜	1265
群	1259
岸	1259
识	1259
徒	1258
士	1256
