。	181773
不	9148
人	7226
日	6647
山	6629
无	6296
风	5617
有	5299
一	5286
云	5133
何	4756
来	4727
水	4674
上	4564
月	4442
天	4414
时	4286
中	3970
知	3955
去	3898
春	3738
君	3678
客	3674
花	3667
相	3471
自	3453
年	3386
为	3383
生	3369
下	3350
里	3316
此	3230
长	3175
远	3151
白	3132
如	3096
夜	3080
心	3030
江	3014
子	3009
事	3007
高	3004
处	2998
秋	2966
见	2957
归	2922
在	2900
三	2880
道	2759
清	2750
得	2744
未	2741
多	2733
行	2717
雨	2678
千	2675
今	2653
门	2632
路	2630
地	2611
尽	2549
落	2547
南	2542
明	2537
朝	2534
金	2450
别	2423
青	2420
色	2411
树	2409
出	2305
草	2290
酒	2290
已	2279
我	2243
空	2225
将	2217
寒	2204
玉	2189
东	2177
思	2107
前	2098
闻	2095
马	2067
从	2060
应	2050
家	2035
石	1996
新	1989
城	1956
雪	1949
西	1944
万	1935
海	1935
开	1928
老	1915
后	1906
烟	1899
重	1890
欲	1889
是	1888
入	1847
古	1826
外	1804
谁	1789
方	1777
可	1744
望	1728
深	1718
声	1709
当	1684
闲	1681
成	1680
游	1678
流	1672
阳	1651
同	1649
旧	1647
飞	1642
分	1641
与	1641
看	1636
意	1632
书	1628
回	1622
光	1620
林	1609
气	1598
独	1586
初	1576
能	1560
还	1549
鸟	1540
叶	1537
晚	1536
国	1530
身	1525
莫	1521
言	1518
北	1518
竹	1502
野	1496
发	1457
难	1448
满	1447
少	1444
向	1444
犹	1442
十	1425
仙	1414
黄	1413
起	1411
龙	1404
非	1396
公	1395
若	1383
好	1378
名	1374
随	1373
平	1368
香	1364
世	1346
红	1343
过	1340
大	1337
近	1322
汉	1318
故	1318
歌	1315
临	1311
松	1311
问	1308
梦	1303
王	1283
逢	1281
静	1279
尘	1277
更	1273
愁	1273
到	1271
离	1264
露	1262
诗	1258
头	1257
华	1250
五	1226
虽	1217
岁	1211
文	1211
因	1210
暮	1202
醉	1194
楼	1191
台	1190
久	1189
坐	1175
柳	1173
间	1173
情	1172
留	1169
孤	1165
影	1164
衣	1162
几	1151
百	1146
似	1144
终	1140
作	1139
者	1129
连	1114
晓	1108
昔	1108
所	1106
曲	1105
吟	1102
小	1096
曾	1095
经	1094
物	1089
安	1081
河	1079
怜	1075
绿	1067
幽	1063
阴	1049
碧	1044
边	1041
霜	1039
然	1038
乐	1023
鹤	1020
四	1012
寻	1001
才	998
唯	998
溪	997
动	986
池	986
翠	985
宫	984
苦	978
病	977
楚	976
断	976
景	974
泉	973
须	972
关	971
芳	970
乡	962
木	961
常	958
宿	949
散	945
爱	944
居	942
九	942
惊	941
寺	939
早	938
馀	933
庭	932
岂	928
复	928
兴	922
主	921
登	918
节	911
语	910
官	910
至	909
峰	904
合	898
阁	895
传	894
波	893
忆	888
期	888
忽	885
共	882
士	873
半	871
正	867
遥	866
神	865
笑	863
微	859
堪	858
吹	855
凤	847
岸	847
吾	846
残	838
轻	832
舟	831
雁	831
双	831
绝	830
怀	828
照	823
沙	823
紫	822
皆	819
垂	810
寂	807
二	806
女	803
通	803
两	799
帝	798
辞	798
先	795
陵	792
隐	789
会	788
数	788
火	788
浮	783
和	780
乱	780
丹	778
恨	777
灵	775
对	772
秦	772
鱼	762
真	759
园	753
足	753
夕	753
剑	749
悲	744
只	743
暗	738
转	735
首	733
枝	732
星	730
圣	725
贵	719
恩	717
依	708
太	706
手	705
药	704
使	703
径	702
阙	698
送	694
且	693
信	692
以	690
谢	688
听	684
窗	684
疏	684
却	683
迹	680
薄	679
徒	675
寄	675
鸣	674
僧	671
川	668
车	668
洞	667
州	667
穷	667
桂	664
识	662
愿	660
湖	659
晴	659
泪	655
亭	653
之	651
殿	647
堂	646
往	646
虚	646
定	645
亦	635
直	631
镜	631
移	631
本	631
霞	631
命	627
吴	626
兰	626
燕	623
食	622
学	620
容	620
说	617
念	616
塞	614
贤	613
郡	613
既	612
夫	609
桃	608
立	608
乘	606
谷	604
含	603
带	600
始	596
舞	595
凉	593
休	593
令	591
力	591
骑	591
住	590
尚	590
疑	589
异	589
死	587
羽	586
浪	585
冷	584
觉	581
征	579
卷	579
暖	579
化	577
眼	576
岩	576
结	573
饮	573
度	569
田	565
画	565
洛	564
珠	563
卧	563
罢	563
倚	562
军	561
亲	560
待	560
胜	559
苍	557
惜	556
交	555
步	554
儿	554
荒	553
他	552
易	550
口	549
朱	548
府	546
求	546
解	543
师	543
琴	542
内	539
栖	538
吏	535
都	534
感	534
萧	532
顾	532
浦	531
喜	530
极	529
翻	528
息	526
岭	525
群	524
怅	523
摇	521
幸	520
皇	519
用	518
户	518
美	518
德	514
室	514
守	513
细	513
俗	512
急	510
锦	510
素	509
变	506
及	506
劳	503
隔	502
功	501
遗	498
斗	495
欢	491
宝	491
逐	487
但	486
横	484
尔	483
飘	483
想	482
教	482
迎	482
元	481
偏	479
报	479
钟	478
灯	478
井	475
缘	475
罗	473
其	473
于	472
杯	471
胡	471
争	470
岳	470
面	470
斜	469
越	468
佳	468
观	468
苔	467
战	466
颜	466
昨	463
惭	462
兵	461
伤	461
拂	460
折	458
彩	458
良	457
持	457
绕	456
目	456
骨	455
便	454
渐	454
六	452
积	448
武	447
性	447
土	446
郎	446
宜	445
又	445
臣	444
苑	444
猿	443
忧	443
遇	442
侵	442
衰	441
舍	441
壁	440
业	440
赏	440
赋	440
轩	439
迷	438
侯	435
章	435
夏	434
湘	434
桥	433
引	433
理	431
盛	430
鼓	430
破	427
映	426
礼	424
杨	424
诸	424
枕	422
字	422
凝	422
忘	421
丝	420
宁	419
收	419
荣	419
玄	418
帆	417
句	417
片	417
由	416
失	416
泽	415
伴	414
禅	414
李	414
每	414
京	413
八	412
鬓	412
接	412
沧	411
叹	410
馆	409
惟	409
悬	409
席	407
梁	406
贫	406
载	406
许	405
条	405
虎	403
笔	403
携	402
音	399
暂	399
蓬	399
藏	398
干	397
掩	394
计	393
冰	392
御	391
代	391
兹	390
雾	389
著	389
晨	389
采	388
斋	388
承	388
村	388
梅	387
举	386
惆	384
啼	384
蜀	383
尺	383
境	381
