。	181773
不	9881
人	8587
风	6632
山	6420
一	5915
无	5903
云	5619
中	4932
来	4904
花	4831
何	4765
日	4735
春	4728
天	4644
时	4574
有	4438
心	4028
月	4000
为	3990
水	3957
生	3957
相	3830
上	3802
归	3775
自	3694
空	3672
秋	3657
长	3632
白	3605
清	3476
年	3311
行	3281
如	3238
此	3162
君	3134
知	3058
是	3029
见	3009
得	3002
在	2997
声	2954
寒	2950
江	2945
未	2873
高	2869
夜	2676
多	2668
明	2631
深	2592
入	2584
门	2582
与	2565
家	2541
前	2479
更	2455
青	2439
流	2439
飞	2426
还	2411
新	2399
落	2383
回	2365
开	2360
下	2354
金	2339
烟	2302
玉	2297
闲	2290
城	2276
独	2231
向	2218
万	2209
里	2152
东	2141
谁	2135
衣	2106
出	2103
情	2079
雨	2078
去	2055
欲	2032
应	2030
身	2029
亦	2027
香	2017
今	2013
千	2001
思	1997
成	1993
南	1986
满	1968
愁	1963
同	1960
林	1957
光	1945
书	1922
看	1910
尘	1905
西	1901
道	1876
已	1874
可	1861
游	1858
朝	1853
阳	1850
路	1832
树	1827
我	1824
难	1817
草	1813
复	1810
子	1800
三	1800
客	1790
楼	1781
酒	1775
远	1772
事	1760
头	1751
将	1742
似	1740
闻	1735
犹	1714
处	1710
名	1696
别	1696
马	1692
石	1679
望	1676
尽	1672
重	1662
作	1657
到	1653
雪	1652
红	1644
歌	1611
诗	1607
过	1605
几	1588
旧	1582
老	1556
间	1553
色	1538
松	1528
海	1496
龙	1488
然	1484
吟	1471
平	1461
能	1460
古	1441
枝	1437
分	1414
边	1414
地	1404
台	1395
莫	1392
黄	1390
从	1388
离	1372
鸟	1366
方	1361
孤	1352
安	1347
华	1344
仙	1329
发	1314
泉	1309
故	1302
气	1286
竹	1267
微	1260
轻	1255
言	1254
阴	1248
波	1248
幽	1246
共	1244
五	1221
随	1215
当	1210
乡	1200
期	1196
终	1195
关	1187
霜	1186
池	1186
梦	1185
文	1183
王	1179
半	1179
百	1177
叶	1177
岂	1171
非	1169
宫	1161
留	1155
醉	1154
暮	1153
芳	1140
十	1139
公	1138
馀	1132
坐	1125
初	1124
起	1124
露	1123
神	1123
却	1118
所	1114
碧	1103
对	1093
残	1085
照	1081
舟	1075
惊	1066
又	1054
溪	1044
四	1038
北	1036
庭	1033
后	1028
连	1025
河	1024
遥	1013
世	1009
夕	1008
野	1002
绿	994
须	990
悲	990
逢	989
柳	986
鸣	985
先	972
大	969
汉	968
两	967
经	965
意	959
临	952
鱼	951
峰	951
忆	949
吹	944
翠	942
因	940
虚	940
寻	938
迟	937
居	930
垂	929
疏	924
九	923
晚	920
影	916
恩	912
正	908
外	908
只	904
岁	900
车	897
沙	890
才	890
问	887
鹤	886
曾	884
浮	883
少	880
听	876
且	873
动	872
川	871
紫	869
通	868
觉	866
泪	866
星	864
断	855
待	849
寄	848
数	847
小	846
园	846
亲	842
国	842
木	842
近	839
之	833
楚	831
僧	822
田	819
好	815
送	814
凉	811
穷	811
和	808
笑	804
隔	804
官	799
双	794
绕	793
怀	790
杯	779
带	778
忽	778
州	778
晓	771
堂	766
窗	765
真	765
始	764
若	759
宿	757
使	756
斜	754
转	751
尚	751
稀	748
常	747
逐	746
霞	746
物	745
雁	743
丹	742
其	739
依	736
陵	736
忧	736
群	735
唯	733
登	732
晴	731
忘	728
苦	728
湖	728
传	722
凤	720
以	719
船	715
争	714
伤	709
堪	706
胜	706
曲	704
容	699
琴	697
休	697
早	693
便	691
病	691
功	688
欢	685
乐	685
苍	684
卧	673
移	672
拂	671
景	666
二	664
秦	663
静	659
舞	657
爱	654
贤	653
灵	652
乱	651
吾	651
罗	647
丝	638
合	638
度	638
直	636
散	635
苔	634
画	633
至	632
钟	631
贫	629
洞	628
著	626
颜	626
兰	626
珠	625
猿	625
于	624
倚	621
即	618
足	617
含	615
信	614
语	613
荒	611
太	610
浪	607
桃	604
解	604
萧	603
映	603
师	602
荣	602
谢	602
征	601
火	601
恨	601
疑	599
兴	599
绝	598
翻	598
啼	598
步	597
识	597
郎	596
死	596
眠	593
久	593
邻	589
音	588
劳	587
会	586
灯	586
怜	584
徒	583
首	582
臣	580
横	579
手	579
弦	575
喜	572
衰	571
用	571
寂	570
学	566
暗	566
低	566
魂	565
帝	561
夫	561
令	560
主	559
钓	551
遗	550
皆	549
易	548
兵	548
隐	548
由	546
女	546
交	545
军	544
尔	544
论	543
锦	542
禅	541
朱	536
往	533
任	532
岩	532
亭	532
傍	531
偏	530
惜	529
结	529
取	527
频	525
燕	522
儿	520
异	518
眼	518
飘	518
愿	518
蓬	518
者	516
教	513
羽	513
暂	512
侯	511
求	508
迹	507
条	507
湘	506
接	506
乘	505
敢	503
剑	502
化	501
必	500
辞	500
洲	500
干	498
及	498
引	498
栖	496
轩	496
立	494
床	491
迎	491
帆	489
章	488
村	487
吴	486
泥	486
鬓	480
胡	476
节	475
梁	472
斗	472
阁	471
宁	471
掩	471
良	470
悬	470
齐	469
皇	466
肯	466
药	465
鸡	465
桥	465
蝉	464
莲	464
镜	463
桂	459
倾	459
渐	459
渔	458
仍	457
玄	457
洛	457
沧	455
圣	452
力	451
叹	449
冰	449
全	446
尊	443
他	443
许	441
骑	439
鸿	438
谷	438
卷	438
肠	438
六	437
旌	437
片	436
京	436
缘	436
盘	435
破	435
折	434
宜	434
感	434
杨	433
伴	432
根	432
报	431
机	430
恐	429
素	429
涯	428
细	427
彩	427
帘	426
昏	423
殿	422
携	420
但	419
都	417
精	417
定	417
阶	416
说	415
繁	415
塞	414
念	413
食	412
岸	412
迷	412
持	410
词	410
越	409
摇	409
莺	409
想	407
饮	407
哀	406
乃	401
原	401
冠	401
梅	400
面	399
眉	399
命	397
津	395
指	394
狂	394
径	394
薄	394
房	394
贵	394
鼓	394
冷	393
雄	391
晨	391
称	390
翁	390
丘	390
况	390
诸	390
沉	389
失	389
遂	389
御	389
那	386
旗	385
目	385
辉	384
士	383
沈	383
英	382
暖	382
每	380
端	378
筵	377
程	376
形	374
丛	374
惟	373
殊	373
枯	372
本	371
载	371
图	371
负	369
沾	369
寥	368
兼	368
枕	366
荆	366
禽	366
孙	366
守	365
武	365
骨	365
息	365
把	365
凝	364
攀	364
轮	364
封	364
收	363
顾	362
襟	362
管	362
危	361
被	361
题	361
荷	360
永	360
扬	359
比	359
寺	359
俗	357
再	356
怅	356
八	356
口	356
并	355
毛	355
众	355
咏	355
侵	353
虎	352
悠	351
最	351
变	350
泛	350
战	350
周	350
藏	349
挂	349
潮	348
催	348
极	347
佳	347
抱	344
闭	343
竟	343
销	341
壁	337
井	337
拟	337
兹	336
银	336
冥	336
强	336
存	336
钱	335
雷	335
张	335
参	334
烧	333
举	333
元	332
住	331
萝	331
篇	331
愧	331
斋	330
喧	327
户	325
土	325
墙	325
桑	323
牛	321
采	321
圆	321
琼	321
观	321
访	321
披	320
夏	319
渡	319
放	319
列	318
耕	317
营	317
凌	317
计	316
字	315
走	313
源	313
各	313
七	312
湿	312
旋	312
拜	311
积	311
赏	311
怨	311
巾	311
扫	311
扉	311
途	309
俱	308
凄	308
炉	307
阙	307
属	305
弄	305
礼	304
种	304
点	304
差	304
德	303
岳	303
李	302
笼	301
昔	301
盈	300
岭	300
潜	299
角	299
鸾	298
宾	298
瑶	297
赋	297
修	297
旅	296
投	294
塘	294
消	293
尺	293
烛	293
澄	292
甘	292
笔	292
壶	292
遍	291
美	290
霄	289
遇	289
要	288
宵	288
杀	287
奇	287
洒	287
免	287
绣	287
童	286
罢	286
羡	286
势	285
室	285
戎	285
避	284
刀	284
埃	284
惭	284
菊	284
拥	282
雾	282
鳞	281
禁	281
理	281
偶	280
凭	280
